SquareFootage,Bedrooms,Location,Price
1499,2,Rural,150000000
1792,2,Urban,181300000
1939,4,Suburb,194100000
990,4,Urban,101200000
1780,5,Urban,180250000
2806,5,Urban,282850000
1984,4,Urban,200600000
927,4,Urban,94900000
2865,3,Suburb,286650000
2616,4,Rural,261800000
2558,5,Rural,256050000
1369,4,Rural,137100000
2146,3,Rural,214750000
2695,5,Urban,271750000
1425,2,Suburb,142600000
2486,4,Suburb,248800000
954,2,Urban,97500000
2209,5,Urban,223150000
1584,4,Suburb,158600000
1045,2,Suburb,104600000
2300,4,Rural,230200000
2505,2,Rural,250600000
1337,2,Rural,133800000
2690,5,Suburb,269250000
2641,4,Rural,264300000
1720,2,Suburb,172100000
1324,4,Suburb,132600000
2329,4,Urban,235100000
835,3,Suburb,83650000
1484,5,Urban,150650000
819,4,Urban,84100000
1199,4,Suburb,120100000
1771,4,Suburb,177300000
2706,5,Rural,270850000
1966,5,Suburb,196850000
1915,4,Rural,191700000
1633,5,Rural,163550000
2623,3,Suburb,262450000
2782,5,Rural,278450000
1653,3,Urban,167450000
850,3,Urban,87150000
1374,3,Suburb,137550000
1948,2,Suburb,194900000
2997,5,Suburb,299950000
2515,4,Urban,253700000
1481,3,Rural,148250000
1637,4,Urban,165900000
1877,3,Rural,187850000
2395,4,Rural,239700000
804,2,Suburb,80500000
1926,3,Suburb,192750000
2019,2,Suburb,202000000
1573,2,Urban,159400000
1676,5,Urban,169850000
1791,4,Urban,181300000
846,3,Suburb,84750000
1068,2,Suburb,106900000
1169,4,Rural,117100000
1435,5,Rural,143750000
1929,4,Suburb,193100000
2493,4,Urban,251500000
2482,5,Suburb,248450000
1456,5,Urban,147850000
919,5,Suburb,92150000
1630,2,Suburb,163100000
2610,4,Rural,261200000
1881,5,Urban,190350000
2774,4,Urban,279600000
2169,4,Suburb,217100000
1540,2,Rural,154100000
916,4,Suburb,91800000
2653,2,Suburb,265400000
1950,5,Urban,197250000
2731,5,Suburb,273350000
1812,4,Rural,181400000
2464,2,Suburb,246500000
1881,2,Rural,188200000
1433,3,Urban,145450000
1312,3,Urban,133350000
1919,5,Suburb,192150000
1941,5,Rural,194350000
1359,3,Urban,138050000
1287,2,Rural,128800000
1696,4,Urban,171800000
2012,4,Urban,203400000
1503,2,Rural,150400000
2270,5,Rural,227250000
1380,4,Rural,138200000
953,2,Urban,97400000
2479,4,Rural,248100000
1796,2,Suburb,179700000
2043,3,Rural,204450000
1892,3,Urban,191350000
1808,4,Rural,181000000
2941,4,Rural,294300000
2573,4,Rural,257500000
1757,4,Suburb,175900000
1252,3,Urban,127350000
2027,3,Suburb,202850000
1350,2,Suburb,135100000
2435,4,Urban,245700000
2112,3,Urban,213350000
2557,5,Rural,255950000
1156,2,Urban,117700000
2870,2,Rural,287100000
2585,2,Suburb,258600000
2581,5,Rural,258350000
2431,5,Urban,245350000
1815,5,Rural,181750000
2148,3,Suburb,214950000
1315,5,Urban,133750000
1135,2,Urban,115600000
2582,4,Rural,258400000
1296,2,Rural,129700000
1695,2,Rural,169600000
1651,3,Suburb,165250000
2487,2,Suburb,248800000
2731,3,Urban,275250000
2368,3,Urban,238950000
1756,4,Suburb,175800000
2436,2,Rural,243700000
2091,4,Rural,209300000
2240,4,Suburb,224200000
1991,2,Rural,199200000
1866,2,Suburb,186700000
1084,5,Rural,108650000
811,5,Rural,81350000
2430,3,Urban,245150000
1553,2,Rural,155400000
2882,3,Rural,288350000
889,4,Suburb,89100000
1575,4,Suburb,157700000
2425,5,Suburb,242750000
1217,3,Suburb,121850000
914,2,Rural,91500000
1416,2,Suburb,141700000
1625,5,Urban,164750000
2449,5,Suburb,245150000
2316,3,Rural,231750000
1212,5,Urban,123450000
1528,5,Rural,153050000
1475,5,Urban,149750000
2692,4,Urban,271400000
1922,3,Urban,194350000
2371,2,Rural,237200000
1777,2,Urban,179800000
1808,3,Rural,180950000
2943,5,Urban,296550000
2487,5,Suburb,248950000
836,2,Suburb,83700000
2348,4,Urban,237000000
1672,3,Urban,169350000
2621,5,Suburb,262350000
2096,4,Suburb,209800000
2909,4,Rural,291100000
1395,5,Suburb,139750000
2703,3,Rural,270450000
1528,3,Urban,154950000
2165,2,Rural,216600000
1196,2,Urban,121700000
1498,3,Rural,149950000
2435,5,Rural,243750000
1195,3,Rural,119650000
875,2,Urban,89600000
1064,2,Urban,108500000
2619,2,Rural,262000000
1517,3,Urban,153850000
1650,3,Rural,165150000
2190,5,Urban,221250000
943,2,Rural,94400000
1684,4,Suburb,168600000
1195,4,Suburb,119700000
2292,5,Rural,229450000
1967,5,Urban,198950000
1862,2,Rural,186300000
2956,3,Suburb,295750000
1865,3,Suburb,186650000
2009,4,Rural,201100000
1433,2,Suburb,143400000
1956,4,Rural,195800000
2038,4,Suburb,204000000
1532,2,Urban,155300000
1034,5,Urban,105650000
1550,4,Urban,157200000
1753,5,Rural,175550000
2342,3,Rural,234350000
1997,4,Urban,201900000
2476,2,Urban,249700000
1991,5,Urban,201350000
2216,3,Suburb,221750000
2017,3,Urban,203850000
2340,4,Suburb,234200000
2876,3,Urban,289750000
2245,2,Rural,224600000
2319,4,Urban,234100000
2188,3,Suburb,218950000
2656,2,Urban,267700000
2165,5,Suburb,216750000
1299,5,Urban,132150000
2480,4,Suburb,248200000
1310,2,Suburb,131100000
1016,3,Urban,103750000
2124,4,Urban,214600000
1955,4,Rural,195700000
2627,3,Rural,262850000
2610,2,Rural,261100000
2005,3,Suburb,200650000
890,5,Suburb,89250000
1513,4,Rural,151500000
2681,5,Rural,268350000
838,4,Urban,86000000
972,3,Rural,97350000
1452,2,Suburb,145300000
1553,3,Urban,157450000
2043,5,Rural,204550000
1881,2,Rural,188200000
2483,2,Rural,248400000
1255,4,Urban,127700000
1628,2,Urban,164900000
1694,4,Urban,171600000
2184,2,Rural,218500000
2758,2,Urban,277900000
2796,4,Urban,281800000
989,2,Urban,101000000
1304,3,Urban,132550000
2014,2,Suburb,201500000
2331,5,Rural,233350000
1623,4,Urban,164500000
1728,4,Suburb,173000000
1733,3,Suburb,173450000
1940,5,Rural,194250000
933,2,Rural,93400000
2905,3,Urban,292650000
1484,2,Rural,148500000
2652,3,Rural,265350000
1614,4,Rural,161600000
1972,5,Rural,197450000
879,4,Urban,90100000
1002,3,Suburb,100350000
2052,2,Rural,205300000
2499,5,Suburb,250150000
2050,2,Suburb,205100000
2482,4,Suburb,248400000
2355,2,Rural,235600000
2894,3,Rural,289550000
2056,5,Urban,207850000
2349,5,Rural,235150000
1966,5,Rural,196850000
2196,3,Rural,219750000
1270,2,Suburb,127100000
1835,5,Urban,185750000
2153,4,Suburb,215500000
1767,4,Urban,178900000
1157,4,Rural,115900000
1467,4,Rural,146900000
1172,4,Suburb,117400000
1831,3,Suburb,183250000
1945,2,Suburb,194600000
2171,3,Urban,219250000
889,4,Suburb,89100000
1339,4,Rural,134100000
1668,5,Urban,169050000
840,5,Urban,86250000
1539,2,Rural,154000000
2746,2,Suburb,274700000
2024,2,Suburb,202500000
1728,3,Rural,172950000
2836,5,Rural,283850000
1724,2,Rural,172500000
2381,5,Rural,238350000
1189,5,Urban,121150000
2417,5,Urban,243950000
1055,5,Suburb,105750000
1508,5,Urban,153050000
2638,5,Urban,266050000
2744,3,Urban,276550000
809,4,Rural,81100000
1597,5,Urban,161950000
1676,3,Suburb,167750000
1828,2,Urban,184900000
1815,3,Rural,181650000
2624,3,Urban,264550000
1173,3,Suburb,117450000
2993,5,Urban,301550000
1023,2,Suburb,102400000
2062,3,Rural,206350000
2602,2,Suburb,260300000
1652,3,Suburb,165350000
862,5,Rural,86450000
2040,3,Suburb,204150000
1488,3,Urban,150950000
2284,2,Urban,230500000
2433,2,Suburb,243400000
2952,2,Urban,297300000
1310,4,Urban,133200000
1184,2,Rural,118500000
1204,3,Suburb,120550000
1317,4,Urban,133900000
1275,2,Suburb,127600000
2800,5,Suburb,280250000
2468,2,Urban,248900000
2693,5,Rural,269550000
2260,4,Rural,226200000
1513,5,Suburb,151550000
882,4,Rural,88400000
1968,5,Urban,199050000
2701,2,Urban,272200000
2848,4,Rural,285000000
850,3,Rural,85150000
1484,3,Suburb,148550000
1516,3,Rural,151750000
2269,2,Suburb,227000000
1248,3,Urban,126950000
1680,4,Rural,168200000
1287,3,Suburb,128850000
2623,4,Suburb,262500000
2881,3,Suburb,288250000
2942,5,Suburb,294450000
2374,4,Urban,239600000
1049,3,Rural,105050000
1473,3,Suburb,147450000
1237,3,Rural,123850000
2965,4,Rural,296700000
1570,4,Urban,159200000
1067,3,Rural,106850000
2784,5,Urban,280650000
1877,4,Urban,189900000
1035,4,Suburb,103700000
1188,5,Urban,121050000
1562,2,Suburb,156300000
2648,5,Urban,267050000
1423,3,Urban,144450000
2052,4,Rural,205400000
1377,4,Suburb,137900000
2922,4,Rural,292400000
1234,4,Urban,125600000
2950,2,Suburb,295100000
1563,4,Urban,158500000
2129,4,Urban,215100000
2945,2,Rural,294600000
2158,3,Suburb,215950000
1246,3,Suburb,124750000
2817,2,Suburb,281800000
2131,3,Urban,215250000
1048,3,Suburb,104950000
965,5,Urban,98750000
2158,5,Urban,218050000
1819,5,Urban,184150000
1341,2,Suburb,134200000
1558,4,Rural,156000000
2928,2,Urban,294900000
2980,2,Rural,298100000
1596,2,Suburb,159700000
937,2,Suburb,93800000
2153,5,Suburb,215550000
2675,2,Suburb,267600000
868,5,Suburb,87050000
2900,4,Rural,290200000
2273,3,Suburb,227450000
1004,5,Suburb,100650000
2973,2,Suburb,297400000
842,4,Suburb,84400000
2706,2,Suburb,270700000
2958,4,Urban,298000000
1560,3,Urban,158150000
2942,4,Rural,294400000
2794,4,Suburb,279600000
2735,3,Rural,273650000
1699,3,Rural,170050000
1159,4,Suburb,116100000
2519,2,Suburb,252000000
1080,5,Urban,110250000
2687,2,Suburb,268800000
1466,5,Urban,148850000
892,3,Rural,89350000
1471,2,Rural,147200000
2769,3,Urban,279050000
860,4,Urban,88200000
1828,4,Suburb,183000000
2289,2,Urban,231000000
1403,3,Urban,142450000
1481,2,Suburb,148200000
2228,2,Rural,222900000
1323,5,Urban,134550000
2768,4,Suburb,277000000
1901,2,Suburb,190200000
2553,4,Urban,257500000
2636,5,Rural,263850000
2894,3,Suburb,289550000
1944,2,Urban,196500000
1879,4,Rural,188100000
906,2,Urban,92700000
847,3,Suburb,84850000
1136,2,Suburb,113700000
1849,2,Suburb,185000000
2080,4,Urban,210200000
2855,3,Suburb,285650000
1424,5,Urban,144650000
2690,3,Rural,269150000
2076,3,Rural,207750000
2515,5,Rural,251750000
1102,2,Rural,110300000
1438,4,Suburb,144000000
855,2,Suburb,85600000
1525,2,Urban,154600000
1325,5,Rural,132750000
1273,5,Rural,127550000
827,2,Urban,84800000
2925,3,Urban,294650000
1164,4,Urban,118600000
1325,3,Urban,134650000
2135,2,Rural,213600000
1682,2,Suburb,168300000
1830,4,Rural,183200000
1826,3,Urban,184750000
2446,2,Suburb,244700000
1718,2,Rural,171900000
2574,5,Urban,259650000
2331,4,Suburb,233300000
2706,5,Suburb,270850000
2015,5,Urban,203750000
2454,5,Suburb,245650000
1284,2,Rural,128500000
2875,3,Rural,287650000
1513,5,Rural,151550000
1862,3,Suburb,186350000
2776,2,Suburb,277700000
2096,5,Urban,211850000
2054,2,Urban,207500000
2933,5,Suburb,293550000
925,5,Rural,92750000
1336,2,Suburb,133700000
2992,4,Rural,299400000
2872,4,Urban,289400000
2403,3,Suburb,240450000
866,3,Suburb,86750000
1032,2,Suburb,103300000
2956,2,Rural,295700000
1969,2,Urban,199000000
2958,4,Rural,296000000
910,4,Urban,93200000
2293,5,Rural,229550000
2881,5,Urban,290350000
1422,2,Rural,142300000
2341,2,Suburb,234200000
2105,3,Rural,210650000
2561,4,Suburb,256300000
2775,2,Suburb,277600000
1676,4,Suburb,167800000
2789,2,Rural,279000000
2112,5,Suburb,211450000
2260,2,Rural,226100000
2533,5,Urban,255550000
2405,3,Rural,240650000
2326,3,Rural,232750000
2430,3,Rural,243150000
1960,2,Urban,198100000
1558,3,Urban,157950000
1042,2,Urban,106300000
1863,4,Suburb,186500000
1028,5,Rural,103050000
1719,4,Rural,172100000
2046,2,Suburb,204700000
805,3,Suburb,80650000
1267,5,Rural,126950000
2555,3,Suburb,255650000
874,4,Suburb,87600000
803,2,Urban,82400000
2670,5,Suburb,267250000
1445,5,Suburb,144750000
917,2,Rural,91800000
2429,2,Suburb,243000000
2821,5,Suburb,282350000
1746,4,Suburb,174800000
2264,4,Urban,228600000
993,3,Rural,99450000
1646,5,Urban,166850000
2215,2,Suburb,221600000
2258,2,Rural,225900000
2468,2,Rural,246900000
2233,2,Suburb,223400000
1941,5,Urban,196350000
2610,4,Suburb,261200000
1523,3,Urban,154450000
1024,4,Suburb,102600000
1331,3,Rural,133250000
912,2,Rural,91300000
2987,2,Urban,300800000
1358,5,Suburb,136050000
2848,2,Urban,286900000
2937,5,Rural,293950000
1453,5,Rural,145550000
1119,5,Urban,114150000
2373,2,Urban,239400000
2628,2,Urban,264900000
2717,4,Urban,273900000
938,3,Urban,95950000
2826,4,Suburb,282800000
1701,2,Urban,172200000
1489,3,Urban,151050000
2839,5,Rural,284150000
809,3,Rural,81050000
1060,5,Suburb,106250000
2742,2,Urban,276300000
2473,3,Urban,249450000
2860,5,Rural,286250000
1991,4,Rural,199300000
2419,4,Rural,242100000
1120,5,Urban,114250000
2142,4,Urban,216400000
2436,4,Suburb,243800000
2794,3,Rural,279550000
2743,4,Rural,274500000
2838,3,Rural,283950000
1918,2,Rural,191900000
2404,4,Rural,240600000
1035,2,Urban,105600000
2769,4,Urban,279100000
1133,5,Rural,113550000
2708,5,Rural,271050000
1175,2,Urban,119600000
1960,2,Urban,198100000
2370,2,Suburb,237100000
2119,5,Urban,214150000
2655,2,Suburb,265600000
2172,5,Rural,217450000
1672,2,Rural,167300000
2052,3,Rural,205350000
2651,3,Urban,267250000
2114,4,Urban,213600000
1524,3,Rural,152550000
2852,2,Rural,285300000
877,3,Suburb,87850000
931,3,Urban,95250000
1400,2,Urban,142100000
2572,3,Suburb,257350000
1865,2,Rural,186600000
2936,3,Rural,293750000
2663,2,Urban,268400000
2118,5,Urban,214050000
1415,5,Rural,141750000
2688,4,Suburb,269000000
1846,3,Suburb,184750000
1374,4,Suburb,137600000
2990,2,Urban,301100000
1792,5,Suburb,179450000
2992,2,Urban,301300000
2048,4,Urban,207000000
1302,2,Rural,130300000
2797,2,Rural,279800000
1620,2,Suburb,162100000
2951,2,Suburb,295200000
2770,5,Urban,279250000
997,2,Rural,99800000
2469,2,Rural,247000000
2002,5,Urban,202450000
2271,2,Suburb,227200000
2446,2,Suburb,244700000
2492,4,Urban,251400000
2112,5,Rural,211450000
2835,3,Urban,285650000
1277,2,Urban,129800000
2054,4,Suburb,205600000
1722,5,Rural,172450000
1219,2,Suburb,122000000
1920,3,Suburb,192150000
1750,2,Rural,175100000
2077,4,Suburb,207900000
2657,5,Urban,267950000
1316,4,Urban,133800000
2458,5,Rural,246050000
2665,3,Urban,268650000
1941,2,Urban,196200000
2732,4,Urban,275400000
1614,3,Urban,163550000
2700,3,Suburb,270150000
2862,2,Urban,288300000
2894,4,Rural,289600000
929,2,Suburb,93000000
894,2,Urban,91500000
2755,5,Urban,277750000
1593,5,Rural,159550000
2634,2,Suburb,263500000
2916,5,Urban,293850000
2483,4,Rural,248500000
810,5,Suburb,81250000
2665,3,Suburb,266650000
1511,2,Urban,153200000
2870,2,Rural,287100000
1614,4,Rural,161600000
1145,2,Urban,116600000
1162,5,Urban,118450000
2988,3,Urban,300950000
1784,2,Rural,178500000
2439,5,Suburb,244150000
1627,3,Urban,164850000
1155,2,Urban,117600000
2147,2,Suburb,214800000
2663,2,Suburb,266400000
926,3,Rural,92750000
1403,2,Urban,142400000
2728,2,Rural,272900000
1813,5,Suburb,181550000
850,5,Urban,87250000
2230,5,Rural,223250000
2592,5,Rural,259450000
2436,2,Suburb,243700000
2445,3,Urban,246650000
2005,2,Rural,200600000
2654,4,Rural,265600000
1366,3,Suburb,136750000
1735,4,Urban,175700000
2734,2,Suburb,273500000
2132,3,Rural,213350000
1001,3,Urban,102250000
916,5,Suburb,91850000
1736,2,Urban,175700000
1374,4,Urban,139600000
1336,3,Urban,135750000
2425,3,Rural,242650000
2922,5,Urban,294450000
1185,3,Suburb,118650000
1274,5,Urban,129650000
1217,3,Urban,123850000
1738,3,Rural,173950000
1754,2,Suburb,175500000
1675,3,Urban,169650000
1562,5,Rural,156450000
2002,5,Rural,200450000
2005,5,Urban,202750000
1463,4,Urban,148500000
824,3,Urban,84550000
2790,2,Rural,279100000
2003,2,Urban,202400000
1509,4,Rural,151100000
2679,3,Suburb,268050000
1984,5,Urban,200650000
1084,4,Suburb,108600000
862,4,Suburb,86400000
1802,5,Suburb,180450000
1461,4,Rural,146300000
2292,4,Rural,229400000
1766,5,Rural,176850000
1648,3,Rural,164950000
1907,2,Suburb,190800000
1488,2,Rural,148900000
947,5,Suburb,94950000
1141,5,Suburb,114350000
1886,3,Rural,188750000
2524,4,Suburb,252600000
2183,3,Rural,218450000
1126,4,Suburb,112800000
2592,4,Urban,261400000
2559,3,Rural,256050000
1789,5,Suburb,179150000
1751,5,Rural,175350000
1522,3,Suburb,152350000
2879,4,Rural,288100000
1228,4,Urban,125000000
2300,4,Urban,232200000
1085,4,Rural,108700000
2865,3,Rural,286650000
1568,2,Suburb,156900000
2194,5,Suburb,219650000
993,5,Rural,99550000
1787,2,Urban,180800000
1936,4,Urban,195800000
2961,2,Rural,296200000
2501,2,Suburb,250200000
1746,2,Rural,174700000
1630,5,Rural,163250000
2720,5,Urban,274250000
854,2,Urban,87500000
1599,2,Suburb,160000000
1577,2,Suburb,157800000
2281,4,Rural,228300000
2701,4,Rural,270300000
2934,4,Rural,293600000
854,5,Rural,85650000
2623,3,Urban,264450000
2001,2,Suburb,200200000
1632,2,Suburb,163300000
1112,3,Suburb,111350000
2658,2,Suburb,265900000
2807,4,Urban,282900000
2806,4,Rural,280800000
2590,3,Suburb,259150000
1127,4,Suburb,112900000
2087,3,Rural,208850000
2943,4,Urban,296500000
1911,2,Urban,193200000
2111,5,Suburb,211350000
1251,4,Suburb,125300000
2323,3,Suburb,232450000
964,5,Urban,98650000
981,2,Suburb,98200000
1709,5,Rural,171150000
1622,3,Urban,164350000
1743,2,Urban,176400000
2801,2,Rural,280200000
2854,4,Rural,285600000
1129,5,Urban,115150000
1574,4,Suburb,157600000
2998,2,Urban,301900000
946,4,Suburb,94800000
1714,4,Rural,171600000
2371,3,Suburb,237250000
2108,4,Rural,211000000
881,2,Suburb,88200000
1313,4,Suburb,131500000
2720,2,Rural,272100000
2739,2,Suburb,274000000
1545,3,Urban,156650000
2209,2,Suburb,221000000
1506,2,Urban,152700000
1270,3,Rural,127150000
1195,2,Suburb,119600000
2355,3,Suburb,235650000
1604,5,Urban,162650000
1733,5,Urban,175550000
2079,5,Rural,208150000
2557,2,Urban,257800000
1704,4,Urban,172600000
1876,3,Urban,189750000
2690,5,Suburb,269250000
2323,3,Suburb,232450000
2187,5,Suburb,218950000
2103,5,Suburb,210550000
1392,2,Suburb,139300000
2906,3,Urban,292750000
927,2,Urban,94800000
1535,3,Suburb,153650000
1320,3,Suburb,132150000
1036,4,Rural,103800000
2104,5,Rural,210650000
2581,2,Urban,260200000
2101,4,Rural,210300000
2851,3,Urban,287250000
1241,5,Rural,124350000
2876,2,Suburb,287700000
1604,4,Suburb,160600000
874,3,Urban,89550000
2975,4,Urban,299700000
2889,3,Urban,291050000
2179,3,Urban,220050000
840,5,Rural,84250000
2881,2,Suburb,288200000
2500,5,Rural,250250000
2201,2,Suburb,220200000
1387,2,Suburb,138800000
2422,3,Rural,242350000
1141,4,Urban,116300000
2874,2,Rural,287500000
1445,2,Rural,144600000
1530,2,Rural,153100000
967,2,Suburb,96800000
1409,3,Urban,143050000
2572,5,Suburb,257450000
2840,4,Rural,284200000
1254,3,Rural,125550000
2508,3,Suburb,250950000
1501,3,Suburb,150250000
2399,2,Urban,242000000
929,4,Rural,93100000
2645,3,Suburb,264650000
2186,3,Suburb,218750000
1492,3,Suburb,149350000
2194,2,Suburb,219500000
1593,2,Rural,159400000
828,3,Urban,84950000
948,2,Suburb,94900000
2119,4,Suburb,212100000
2858,2,Urban,287900000
1936,3,Rural,193750000
986,4,Suburb,98800000
2050,2,Urban,207100000
2133,3,Urban,215450000
897,5,Rural,89950000
854,5,Urban,87650000
1557,4,Rural,155900000
1205,4,Urban,122700000
2916,4,Suburb,291800000
2112,2,Rural,211300000
2585,4,Urban,260700000
1550,2,Suburb,155100000
2562,3,Urban,258350000
1164,2,Suburb,116500000
2826,2,Rural,282700000
1281,3,Suburb,128250000
953,5,Urban,97550000
2324,2,Suburb,232500000
